latitude,longitude,altitude,geometry,Name,description
46.607233,15.784607,,Point,Jurovski Dol,2223
46.490356,15.966568,,Point,Juršinci,2256
46.085853,13.740807,,Point,Kal nad Kanalom,5214
46.169489,15.393047,,Point,Kalobje,3233
46.317296,14.192276,,Point,Kamna Gorica,4246
46.573023,15.613976,,Point,Kamnica,2351
46.227947,14.610958,,Point,Kamnik,1241
46.086805,13.634377,,Point,Kanal,5213
45.934199,15.67955,,Point,Kapele,8258
46.247775,15.008869,,Point,Kapla,2362
46.388149,15.799713,,Point,Kidričevo,2325
46.139642,14.965782,,Point,Kisovec,1412
45.624123,14.245491,,Point,Knežak,6253
46.246351,13.583221,,Point,Kobarid,5222
46.686189,16.395378,,Point,Kobilje,9227
45.642848,14.863129,,Point,Kočevje,1330
45.579926,14.799271,,Point,Kočevska Reka,1338
46.460093,16.255131,,Point,Kog,2276
46.005547,13.572578,,Point,Kojsko,5211
45.817554,13.745613,,Point,Komen,6223
46.204547,14.540405,,Point,Komenda,1218
45.54964,13.729477,,Point,Koper,6000
46.036778,15.541191,,Point,Koprivnica,8282
45.844347,13.644676,,Point,Kostanjevica na Krasu,5296
45.847217,15.418625,,Point,Kostanjevica na Krki,8311
45.664086,14.120522,,Point,Košana,6256
46.521784,14.986382,,Point,Kotlje,2394
45.608274,13.937531,,Point,Kozina,6240
46.07204,15.557327,,Point,Kozje,3260
46.242552,14.357071,,Point,Kranj,4000
46.485629,13.785439,,Point,Kranjska Gora,4280
46.103233,14.785194,,Point,Kresnice,1281
46.338632,14.303169,,Point,Križe,4294
46.780784,16.233673,,Point,Križevci,9206
46.56429,16.140804,,Point,Križevci pri Ljutomeru,9242
45.882122,14.778671,,Point,Krka,1301
45.986466,15.185852,,Point,Krmelj,8296
46.298797,14.205666,,Point,Kropa,4245
45.893593,15.570889,,Point,Krška vas,8262
45.960339,15.492439,,Point,Krško,8270
46.835301,16.081238,,Point,Kuzma,9263
46.347876,15.593376,,Point,Laporje,2318
46.152724,15.240784,,Point,Laško,3270
46.219396,14.759274,,Point,Laze v Tuhinju,1219
46.551542,15.824432,,Point,Lenart v Slovenjskih goricah,
46.568302,16.445847,,Point,Lendava,9220
46.36233,14.151077,,Point,Lesce,4248
46.102161,15.514584,,Point,Lesično,3261
45.942794,15.481796,,Point,Leskovec pri Krškem,8273
46.620794,14.947243,,Point,Libeliče,2372
46.556145,15.581017,,Point,Limbuš,2341
46.059891,14.82811,,Point,Litija,1270
46.25917,15.322151,,Point,Ljubečna,3202
46.05465,14.5047,,Point,Ljubljana,1000
46.340528,14.834976,,Point,Ljubno ob Savinji,3333
46.520603,16.196594,,Point,Ljutomer,9240
46.302118,15.496559,,Point,Loče,3215
46.407682,13.604336,,Point,Log pod Mangartom,5231
46.011032,14.369431,,Point,Log pri Brezovici,1358
45.91593,14.210815,,Point,Logatec,1370
46.057151,15.209541,,Point,Loka pri Zidanem Mostu,1434
46.159383,15.51527,,Point,Loka pri Žusmu,3223
45.661807,13.929977,,Point,Lokev,6219
45.667205,14.6628,,Point,Loški Potok,1318
46.540444,15.388069,,Point,Lovrenc na Pohorju,2344
46.374412,15.773964,,Point,Lovrenc na Dravskem polju,2324
46.357354,14.748459,,Point,Luče,3334
46.166279,14.686661,,Point,Lukovica,1225
46.784781,16.163979,,Point,Mačkovci,9202
46.352615,15.735855,,Point,Majšperk,2322
46.319904,15.667191,,Point,Makole,2321
46.522493,16.054115,,Point,Mala Nedelja,9243
46.557444,15.68985,,Point,Malečnik,2229
45.508753,13.800545,,Point,Marezige,6273
46.561693,15.648651,,Point,Maribor,2000
46.45347,15.733795,,Point,Marjeta na Dravskem polju,2206
46.397384,15.931549,,Point,Markovci,2281
46.687838,16.191788,,Point,Martjanci,9221
45.580406,13.993149,,Point,Materija,6242
46.186724,14.405479,,Point,Mavčiče,4211
46.140831,14.409256,,Point,Medvode,1215
46.163663,14.569588,,Point,Mengeš,1234
45.652928,15.318375,,Point,Metlika,8330
46.522257,14.850082,,Point,Mežica,2392
46.505246,15.699806,,Point,Miklavž na Dravskem polju,2204
46.458201,16.21479,,Point,Miklavž pri Ormožu,2275
45.845423,13.627682,,Point,Miren,5291
45.951388,15.064316,,Point,Mirna,8233
45.860129,15.081825,,Point,Mirna Peč,8216
46.444008,15.198383,,Point,Mislinja,2382
46.462694,13.940277,,Point,Mojstrana,4281
45.945421,15.144653,,Point,Mokronog,8230
46.136311,14.745712,,Point,Moravče,1251
46.686189,16.222687,,Point,Moravske Toplice,9226
46.1532,13.73497,,Point,Most na Soči,5216
45.898132,15.626678,,Point,Mostec,8257
46.215476,14.884415,,Point,Motnik,1221
46.338632,14.958229,,Point,Mozirje,3330
46.660747,16.161575,,Point,Murska Sobota,9000
46.61195,15.165081,,Point,Muta,2366
46.273411,14.312439,,Point,Naklo,4202
46.318007,14.948616,,Point,Nazarje,3331
45.989329,14.400673,,Point,Notranje Gorice,1357
46.308996,15.285072,,Point,Nova Cerkev,3203
45.96022,13.643303,,Point,Nova Gorica,5000
45.772552,14.507446,,Point,Nova Vas,1385
45.811572,15.173492,,Point,Novo Mesto,8000
45.543389,14.086189,,Point,Obrov,6243
46.587653,16.278992,,Point,Odranci,9233
46.387675,15.449524,,Point,Oplotnica,2317
46.470971,15.66925,,Point,Orehova vas,2312
46.408037,16.160202,,Point,Ormož,2270
45.792425,14.678078,,Point,Ortnek,1316
45.527757,14.698677,,Point,Osilnica,1337
45.835258,15.220528,,Point,Otočec,8222
46.58435,15.378113,,Point,Ožbalt,2361
46.580575,15.727272,,Point,Pernica,2231
46.611715,15.6744,,Point,Pesnica pri Mariboru,2211
46.80335,16.21994,,Point,Petrovci,9203
46.245876,15.187225,,Point,Petrovče,3301
45.52463,13.568802,,Point,Piran,6330
46.006501,15.647278,,Point,Pišece,8255
45.685557,14.196396,,Point,Pivka,6257
45.83167,14.250641,,Point,Planina,6232
46.107041,15.406952,,Point,Planina pri Sevnici,3225
45.541946,13.794708,,Point,Pobegi,6276
45.866585,15.459824,,Point,Podbočje,8312
46.217377,13.967743,,Point,Podbrdo,5243
46.155102,15.596466,,Point,Podčetrtek,3254
46.427446,16.053772,,Point,Podgorci,2273
45.533529,13.945427,,Point,Podgorje,6216
46.472389,15.090752,,Point,Podgorje pri Slovenj Gradcu,2381
45.522225,14.145927,,Point,Podgrad,6244
46.071325,15.033417,,Point,Podkum,1414
46.334129,15.884171,,Point,Podlehnik,2286
45.796733,13.975296,,Point,Podnanos,5272
46.292629,14.257851,,Point,Podnart,4244
46.246113,15.57518,,Point,Podplat,3241
46.041544,15.58857,,Point,Podsreda,3257
46.589069,15.325928,,Point,Podvleka,2363
46.479719,16.005363,,Point,Polenšak,2257
46.065132,14.314499,,Point,Polhov Gradec,1355
46.122987,14.183006,,Point,Poljane nad Škofjo Loko,4223
46.312316,15.5793,,Point,Poljčane,2319
46.070372,14.959946,,Point,Polšnik,1272
46.27697,15.071182,,Point,Polzela,3313
46.255135,15.442657,,Point,Ponikva,3232
45.514287,13.591805,,Point,Portorož,6320
45.773031,14.215279,,Point,Postojna,6230
46.39762,15.658264,,Point,Pragersko,2331
46.239702,15.092468,,Point,Prebold,3312
46.302355,14.422302,,Point,Preddvor,4205
45.606352,14.178886,,Point,Prem,6255
45.95664,14.418869,,Point,Preserje,1352
45.732786,14.185066,,Point,Prestranek,6258
46.547292,14.91909,,Point,Prevalje,2391
46.128222,15.47802,,Point,Prevorje,3262
45.972748,14.909906,,Point,Primskovo,1276
46.196706,15.594578,,Point,Pristava pri Mestinju,3253
46.734214,16.277618,,Point,Prosenjakovci,9207
45.890008,13.712997,,Point,Prvačina,5297
46.423659,15.865631,,Point,Ptuj,2250
46.354748,15.763321,,Point,Ptujska Gora,2323
46.705969,16.152649,,Point,Puconci,9201
46.452051,15.67543,,Point,Rače,2327
46.063703,15.180359,,Point,Radeče,1433
46.641894,16.040039,,Point,Radenci,9252
46.621147,15.227737,,Point,Radlje ob Dravi,2360
46.172936,14.607697,,Point,Radomlje,1235
46.346928,14.16893,,Point,Radovljica,4240
45.929662,15.380859,,Point,Raka,8274
45.813965,14.319992,,Point,Rakek,1381
46.500047,13.714027,,Point,Rateče - Planica,4283
46.542805,14.961319,,Point,Ravne na Koroškem,2390
46.326305,14.92218,,Point,Rečica ob Savinji,3332
45.890964,13.669739,,Point,Renče,5292
45.737818,14.727173,,Point,Ribnica,1310
46.539027,15.269623,,Point,Ribnica na Pohorju,2364
46.125129,15.194778,,Point,Rimske Toplice,3272
45.848891,14.570961,,Point,Rob,1314
46.110612,13.669739,,Point,Ročinj,5215
